nombre,cue,dni
UNSE,860228300,860228300
UCSE,70607100,70607100
"ESCUELA SECUNDARIA ""SOR MARIA ANTONIA DE PAZ Y FIGUEROA""PAZ Y FIGUEROA",860158800,860158800
ESCUELA DE ESPECIALIDADES Nº 7 PAUL GROUSSAC,860032300,860032300
ESCUELA CARMEN CATREN DE MENDEZ CASARIEGO,860111500,860111500
ITSE,860227300,860227300
ESCUELA DE ESPECIALIDADES N° 9 HOMERO MANZI,860166900,860166900
ESCUELA MARIA EVA DUARTE DE PERON,860123500,860123500
Escuela Tecnica N° 6,860110800,860110800
Escuela Tecnica N° 5,860111900,860111900
Escuela Tecnica N° 4,860118300,860118300
Escuela Tecnica N° 2,860111700,860111700
Secretaria De Ciencia Y Tecnologia,900084500,900084500
Escuela Tecnica N° 1,860126000,860126000
Escuela de Formacion Profesional y Capacitacion Laboral Nº 8,860182000,860182000
Escuela de Formacion Profesional y Capacitacion Laboral Nº 7,860178200,860178200
Escuela de Formacion Profesional y Capacitacion Laboral Nº 6,86018900,86018900
Escuela de Formacion Profesional y Capacitacion Laboral Nº 42,860208000,860208000
Escuela de Formacion Profesional y Capacitacion Laboral Nº 40,860207800,860207800
Escuela de Formacion Profesional y Capacitacion Laboral Nº 37,860181000,860181000
Escuela de Formacion Profesional y Capacitacion Laboral Nº 32,860183300,860183300
Escuela de Formacion Profesional y Capacitacion Laboral Nº 3,860178100,860178100
Escuela de Formacion Profesional y Capacitacion Laboral Nº 28,860178700,860178700
Escuela de Formacion Profesional y Capacitacion Laboral Nº 27,860182900,860182900
Escuela de Formacion Profesional y Capacitacion Laboral Nº 24,860182800,860182800
Escuela de Formacion Profesional y Capacitacion Laboral Nº 23,860182700,860182700
Escuela de Formacion Profesional y Capacitacion Laboral Nº 18,860182400,860182400
Escuela de Formacion Profesional y Capacitacion Laboral Nº 15,860182300,860182300
Escuela de Formacion Profesional y Capacitacion Laboral Nº 14,860177300,860177300
Escuela de Formacion Profesional y Capacitacion Laboral Nº 11,860186300,860186300
Escuela de Formacion Profesional y Capacitacion Laboral N° 5,860181800,860181800
Escuela de Formacion Profesional y Capacitacion Laboral N° 36,860180900,860180900
Escuela de Formacion Profesional y Capacitacion Laboral N° 32,860183300,860183300
Escuela de Formacion Profesional y Capacitacion Laboral N° 31,860183200,860183200
Escuela de Formacion Profesional y Capacitacion Laboral N° 29,860183000,860183000
Escuela de Formacion Profesional y Capacitacion Laboral N° 26,860176700,860176700
Escuela de Formacion Profesional y Capacitacion Laboral N° 21,860178400,860178400
Escuela de Formacion Profesional y Capacitacion Laboral N° 20,860182600,860182600
Escuela de Formacion Profesional y Capacitacion Laboral N° 2,860181600,860181600
Escuela de Formacion Profesional y Capacitacion Laboral N° 19,860182500,860182500
Escuela de Formacion Profesional y Capacitacion Laboral N° 17,860186800,860186800
Escuela de Formacion Profesional y Capacitacion Laboral N° 16,860178300,860178300
Escuela de Formacion Profesional y Capacitacion Laboral N° 13,860182200,860182200
Escuela de Formacion Profesional y Capacitacion Laboral N° 10,860187500,860187500
Escuela de Formacion Profesional y Capacitacion Laboral N° 1,860181500,860181500
Escuela de Formacion Profesional y Capacitacion Laboral N° 4,860181700,860181700
Escuela de Formacion Profesional y Capacitacion Laboral N° 33,860177200,860177200
Escuela de Formacion Profesional y Capacitacion Laboral N° 25,860178600,860178600
Escuela de Formacion Profesional y Capacitacion Laboral N° 22,860178500,860178500
Escuela de Formacion Profesional y Capacitacion Laboral N° 12,860177600,860177600
Escuela de Formacion Profesional y Capacitacion Laboral N° 18,860182400,860182400
